time,open,high,low,close,symbol,Spread,涨跌幅,上涨,下跌,上涨数量,下跌数量,上涨比例,rank_涨跌幅,rank_sum,rank
2021-02-08 05:59:00,0.12952,0.13224,0.123,0.12792,SAND-USDT,0.0046336291525956,-0.012658227848100445,0,1,86,1,0.9885057471264368,1.0,1.0,1.0
2021-02-08 17:59:00,1.6402,1.6752,1.4128,1.5419999999999998,ZRX-USDT,0.0046257085152126,-0.061187214611872265,0,1,77,10,0.8850574712643678,1.0,1.0,1.0
2021-02-09 05:59:00,31.6323,33.8769,28.689,29.9823,AVAX-USDT,0.0015633612266372,-0.05215587962860524,0,1,62,25,0.7126436781609196,1.0,1.0,1.0
2021-02-09 17:59:00,0.08161,0.081616,0.063647,0.070384,DOGE-USDT,7.388588609069657e-05,-0.13750382942221673,0,1,61,26,0.7011494252873564,1.0,1.0,1.0
2021-02-10 05:59:00,10.4904,10.565,9.2811,9.6127,WAVES-USDT,0.0024715820210656,-0.08342232731988253,0,1,74,13,0.8505747126436781,1.0,1.0,1.0
2021-02-10 17:59:00,3.7155,3.75,3.0601,3.194,NEAR-USDT,0.0039920787099614,-0.13982548745017775,0,1,22,65,0.25287356321839083,1.0,1.0,1.0
2021-02-11 05:59:00,43.224,43.851000000000006,36.832,39.1,FIL-USDT,0.0031222500724763,-0.09509592908884723,0,1,73,14,0.8390804597701149,1.0,1.0,1.0
2021-02-11 17:59:00,53.5166,56.8888,45.8211,46.7062,AVAX-USDT,0.0100756266719723,-0.12682697017397582,0,1,77,10,0.8850574712643678,1.0,1.0,1.0
2021-02-12 05:59:00,0.13255,0.13495,0.11733,0.12092,MATIC-USDT,0.0039853869146462,-0.08739622641509437,0,1,30,57,0.3448275862068966,1.0,1.0,1.0
2021-02-12 17:59:00,214.18,214.18,193.12,203.01,XMR-USDT,0.0057966706302021,-0.052196647836033505,0,1,79,8,0.9080459770114943,1.0,1.0,1.0
2021-02-13 05:59:00,2.545,2.60687,2.13068,2.3885400000000003,GRT-USDT,0.0092621544650177,-0.062177549177431235,0,1,66,21,0.7586206896551724,1.0,1.0,1.0
2021-02-13 17:59:00,2.27717,2.27945,1.70068,1.96369,ALPHA-USDT,0.0030904558550091,-0.13837344507579907,0,1,21,66,0.2413793103448276,1.0,1.0,1.0
2021-02-14 05:59:00,0.074653,0.078422,0.063938,0.064294,RSR-USDT,0.0045937499999999,-0.1387389318294463,0,1,28,59,0.3218390804597701,1.0,1.0,1.0
2021-02-14 17:59:00,0.52178,0.5272,0.44136,0.45206,CVC-USDT,0.0035742035742036,-0.13373574782025488,0,1,19,68,0.21839080459770116,1.0,1.0,1.0
2021-02-15 05:59:00,0.7063,0.7312,0.4772,0.5595,BZRX-USDT,0.0017905102954343,-0.207619317377142,0,1,2,85,0.022988505747126436,1.0,1.0,1.0
2021-02-15 17:59:00,46795.1,48928.1,46795.1,48681.3,BTCBUSD,0.0021099738980789,0.03939474167417534,1,0,87,0,1.0,1.0,1.0,1.0
2021-02-16 05:59:00,2.2263,2.2437,1.8576,1.9836,TOMO-USDT,0.000201694231545,-0.10829399865138234,0,1,14,73,0.16091954022988506,1.0,1.0,1.0
2021-02-16 17:59:00,0.5415,0.5498,0.4664,0.4756,FLM-USDT,0.0016849199663016,-0.12299465240641705,0,1,8,79,0.09195402298850575,1.0,1.0,1.0
2021-02-17 05:59:00,2.0579,2.06013,1.78,1.83169,AXS-USDT,-0.0015208669486721,-0.11123564975205491,0,1,13,74,0.14942528735632185,1.0,1.0,1.0
2021-02-17 17:59:00,0.052924,0.05428,0.051092,0.052971,DOGE-USDT,0.0038127868591506,0.0011718233192841154,1,0,87,0,1.0,1.0,1.0,1.0
2021-02-18 05:59:00,0.4543,0.45894,0.434,0.44107,CVC-USDT,0.0038006372325898,-0.02995447447711619,0,1,79,8,0.9080459770114943,1.0,1.0,1.0
2021-02-18 17:59:00,1.7550599999999998,1.76872,1.5707799999999998,1.58315,ALPHA-USDT,0.0037852369418835,-0.09875214901344631,0,1,32,55,0.367816091954023,1.0,1.0,1.0
2021-02-19 05:59:00,0.5554,0.5703,0.4938,0.5023,FLM-USDT,0.0023947315905008,-0.09560676989557082,0,1,25,62,0.28735632183908044,1.0,1.0,1.0
2021-02-19 17:59:00,0.0575,0.05938,0.05177,0.05335,CHZ-USDT,0.0024050204802523,-0.07201252391720292,0,1,75,14,0.8426966292134831,1.0,1.0,1.0
2021-02-20 05:59:00,5.0935,5.1037,4.7363,4.9262,KAVA-USDT,0.0060655570305321,-0.032693855911402614,0,1,62,27,0.6966292134831461,1.0,1.0,1.0
2021-02-20 17:59:00,0.282917,0.288,0.237287,0.2472530000000001,FTM-USDT,0.0037877557648591,-0.12663235642151405,0,1,36,53,0.4044943820224719,1.0,1.0,1.0
2021-02-21 05:59:00,0.6846,0.7203,0.5453,0.6041,BZRX-USDT,0.0013260401127135,-0.1191309419655876,0,1,8,81,0.0898876404494382,1.0,1.0,1.0
2021-02-21 17:59:00,1.4924,1.5086,1.3687,1.3941,ONT-USDT,0.0036717062634987,-0.06624246483590102,0,1,40,49,0.449438202247191,1.0,1.0,1.0
2021-02-22 05:59:00,0.6379,0.6449,0.5533,0.5671,BZRX-USDT,0.0033616418966737,-0.11015220461321185,0,1,14,75,0.15730337078651685,1.0,1.0,1.0
2021-02-22 17:59:00,0.32666,0.34151,0.21782,0.26556,SAND-USDT,0.0012970559845559,-0.1870446335639503,0,1,3,87,0.03333333333333333,1.0,1.0,1.0
2021-02-23 05:59:00,0.032568,0.034726,0.0246,0.025754,ANKR-USDT,0.004759675405743,-0.20761799273890846,0,1,12,78,0.13333333333333333,1.0,1.0,1.0
2021-02-23 17:59:00,2.26,2.30032,1.52111,1.85743,BEL-USDT,0.0002315562735595,-0.17844458106834993,0,1,7,84,0.07692307692307693,1.0,1.0,1.0
2021-02-24 05:59:00,20.667,21.172,18.502,20.191,ATOM-USDT,0.0004955155839649,-0.022795469944826285,0,1,89,2,0.978021978021978,1.0,1.0,1.0
2021-02-24 17:59:00,5.386,5.631,4.62,5.06,DODO-USDT,-0.0015785319652724,-0.060527292981804814,0,1,61,31,0.6630434782608695,1.0,1.0,1.0
2021-02-25 05:59:00,0.19228,0.21539,0.1685,0.17365,BLZ-USDT,0.0010953533955955,-0.09745322245322241,0,1,32,60,0.34782608695652173,1.0,1.0,1.0
2021-02-25 17:59:00,7.9798,8.1321,7.0820000000000025,7.1456,SRM-USDT,0.0008684203154325,-0.10441550628548513,0,1,50,42,0.5434782608695652,1.0,1.0,1.0
2021-02-26 05:59:00,35.158,35.6,26.363000000000003,26.41800000000001,UNFI-USDT,0.0013152259194266,-0.24765050976818348,0,1,0,92,0.0,1.0,1.0,1.0
2021-02-26 17:59:00,0.15934,0.16813,0.15043,0.16398,RVN-USDT,0.0003050082352222,0.02950778503264684,1,0,92,0,1.0,1.0,1.0,1.0
2021-02-27 05:59:00,0.605186,0.61249,0.471,0.471553,FTM-USDT,0.0030268223682812,-0.22169277237691254,0,1,50,42,0.5434782608695652,1.0,1.0,1.0
2021-02-27 17:59:00,1.35393,1.37419,1.23079,1.26455,ALPHA-USDT,-0.0003399263229457,-0.06504846472906323,0,1,51,41,0.5543478260869565,1.0,1.0,1.0
2021-02-28 05:59:00,4.412,4.521,3.5810000000000004,3.616,DODO-USDT,0.0002766251728907,-0.17967332123411983,0,1,1,91,0.010869565217391304,1.0,1.0,1.0
2021-02-28 17:59:00,1.6,1.6345,1.3691,1.3857,SFP-USDT,0.001590169859053,-0.13382922865358182,0,1,8,84,0.08695652173913043,1.0,1.0,1.0
2021-03-01 05:59:00,0.6134,0.6609999999999999,0.6114,0.6284,STORJ-USDT,0.0015938795027095,0.024453863710466317,1,0,92,0,1.0,1.0,1.0,1.0
2021-03-01 17:59:00,0.23834,0.2446,0.21647,0.22331,MATIC-USDT,0.0006721634701558,-0.06400368849023375,0,1,85,7,0.9239130434782609,1.0,1.0,1.0
2021-03-02 05:59:00,0.567893,0.609367,0.5112,0.511318,FTM-USDT,0.0019752699339616,-0.09908801950820711,0,1,75,17,0.8152173913043478,1.0,1.0,1.0
2021-03-02 17:59:00,19.6385,20.3957,17.723,17.9486,SUSHI-USDT,0.0025470591520975,-0.08630625127265323,0,1,25,67,0.2717391304347826,1.0,1.0,1.0
2021-03-03 05:59:00,524.3,524.7,478.0,501.71,COMP-USDT,0.0002791235520465,-0.04308601945451074,0,1,90,2,0.9782608695652174,1.0,1.0,1.0
2021-03-03 17:59:00,2.1899,2.2413,1.9769,2.0548,SFP-USDT,0.0015597582374733,-0.06173515981735145,0,1,84,9,0.9032258064516129,1.0,1.0,1.0
2021-03-04 05:59:00,5.9379,6.007999999999999,5.3063,5.468,RUNE-USDT,0.000201210923924,-0.08040564403558637,0,1,19,74,0.20430107526881722,1.0,1.0,1.0
2021-03-04 17:59:00,0.7727,0.7804,0.6826,0.6862,BAT-USDT,0.0018980873120164,-0.11206004140786752,0,1,25,68,0.26881720430107525,1.0,1.0,1.0
2021-03-05 05:59:00,242.331,242.331,211.437,213.925,KSM-USDT,0.0008983170591345,-0.1173218242359475,0,1,5,88,0.053763440860215055,1.0,1.0,1.0
2021-03-05 17:59:00,4.4525,4.5439,4.0452,4.1262,THETA-USDT,0.0009897819568571,-0.07345114858644142,0,1,81,12,0.8709677419354839,1.0,1.0,1.0
2021-03-06 05:59:00,2.24718,2.28898,2.06416,2.09715,KNC-USDT,0.0015042979942694,-0.06646041532195235,0,1,66,27,0.7096774193548387,1.0,1.0,1.0
2021-03-06 17:59:00,0.32375,0.33085,0.29357,0.29956,SKL-USDT,0.0031142216120281,-0.07437505793653243,0,1,32,61,0.34408602150537637,1.0,1.0,1.0
2021-03-07 05:59:00,2.89736,3.03399,2.782,2.79391,BEL-USDT,0.0024793684965913,-0.03560839054631071,0,1,77,16,0.8279569892473119,1.0,1.0,1.0
2021-03-07 17:59:00,4.4649,4.4739,4.2246,4.2755,THETA-USDT,0.0018840246891593,-0.042097952233723146,0,1,76,17,0.8172043010752689,1.0,1.0,1.0
2021-03-08 05:59:00,2.8494,2.8713,2.4206,2.5148,TOMO-USDT,-0.0150785258293189,-0.11752114257641144,0,1,58,35,0.6236559139784946,1.0,1.0,1.0
2021-03-08 17:59:00,54.4,55.434,49.101000000000006,50.038,ZEN-USDT,0.0017015995035334,-0.08018382352941178,0,1,39,54,0.41935483870967744,1.0,1.0,1.0
2021-03-09 05:59:00,44.871,45.014,42.975,43.431,TRB-USDT,-0.0039903680770552,-0.031141945702366947,0,1,85,8,0.9139784946236559,1.0,1.0,1.0
2021-03-09 17:59:00,2.1153,2.1153,1.9449,1.9627,RLC-USDT,0.0024004085801838,-0.07148263790330212,0,1,45,48,0.4838709677419355,1.0,1.0,1.0
2021-03-10 05:59:00,0.695,0.71,0.5099,0.5746,XEM-USDT,-0.0672077922077921,-0.17323741007194238,0,1,20,73,0.21505376344086022,1.0,1.0,1.0
2021-03-10 17:59:00,0.61412,0.66666,0.5342399999999999,0.54513,SKL-USDT,0.0030544464275856,-0.11233960789422259,0,1,74,20,0.7872340425531915,1.0,1.0,1.0
2021-03-11 05:59:00,2.8258,2.8757,2.4928,2.5111,TOMO-USDT,-0.0035317460317461,-0.11136669261801979,0,1,10,84,0.10638297872340426,1.0,1.0,1.0
2021-03-11 17:59:00,0.41403,0.41808,0.36263,0.37801,COTI-USDT,0.005987864594422,-0.08827572899833569,0,1,78,16,0.8297872340425532,1.0,1.0,1.0
